"filename","title","year","director","language","country","user_tag","tier","decade","subdirectory","destination","confidence","reason","tmdb_id","tmdb_title","data_readiness"
"unroutable/New York Stories.1989.576p.BDRip-AVC.ZONE.mkv","New York Stories","1989","Woody Allen","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","9686","New York Stories","R3"
"unroutable/No Man's Land.1987.576p.BDRip-AVC.ZONE.mkv","No Man's Land","1987","Peter Werner","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","34379","No Man's Land","R3"
"unroutable/Lord of Illusions Unrated Directors Cut - Clive Barker 1995 Eng Rus Multi Subs 1080p [H264-mp4].mp4","Clive Barker","1995","Lord of Illusions Unrated Directors Cut","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"unroutable/Motorcycle.Gang.1994.dvdrip_[1.46]_[teko].avi","Motorcycle Gang","1994","John Milius","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","203066","Motorcycle Gang","R3"
"unroutable/Hamlet (2010).mkv","Hamlet","2010","Kevin Duffy","","US","","Unsorted","2010s","","Unsorted/","0.0","unsorted_no_match","28238","Hamlet","R3"
"unroutable/Kurotokage (Umetsugu Inoue, 1962).mkv","Kurotokage","1962","Umetsugu Inoue","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_data/The.Sweet.Life.1960.REPACK.1080p.BluRay.FLAC1.0.x264-RO.mkv","The Sweet Life","1960","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Alphaville.une.etrange.aventure.de.Lemmy.Caution.1965.720p.BluRay.x264.AAC.2.0-dps.mkv","Alphaville une etrange aventure de Lemmy Caution","1965","Jean-Luc Godard","","FR","","Satellite","1960s","French New Wave","Satellite/French New Wave/1960s/","0.4","review_flagged","8072","Alphaville","R3"
"no_data/Les.Sept.Peches.Capitaux.1962.FRENCH.1080p.WEB.H264.mkv","Les Sept Peches Capitaux","1962","","fr","FR","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_director","","","R2"
"no_data/Kapurush.1965.1080p.BluRay.FLAC1.0.x264-ZoroSenpai.mkv","Kapurush","1965","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Tacones lejanos (1991) High Heels 1080p- HighCode.mkv","Tacones lejanos","1991","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Agantuk.1991.1080p.AMZN.WEB-DL.DD+2.0.x264-Cinefeel.mkv","Agantuk","1991","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Eloge.de.l.amour.2001.FRENCH.1080p.WEB.H264-LiDHL.mkv","Eloge de l amour","2001","","fr","FR","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_director","","","R2"
"no_data/Combat.d'amour.en.songe.2000.dvdrip_[2.18].avi","Combat d'amour en songe","2000","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Hollywood Boulevard (1976).mkv","Hollywood Boulevard","1976","Allan Arkush","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","29856","Hollywood Boulevard","R3"
"no_data/O Padre e a Moça (1966).mp4","O Padre e a Moça","1966","Miguel M. Delgado","","MX","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","41308","El padrecito","R3"
"no_data/O Abismo (1977).mkv","O Abismo","1977","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Anjos da Noite (1987).avi","Anjos da Noite","1987","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Os.Sete.Gatinhos.1980.HDTV.AVC.MKOff-NaMoral.mkv","Os Sete Gatinhos","1980","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Jean-Marc ou La Vie Conjugale.1964.576p.BDrip-AVC.ZONE.mkv","Jean Marc ou La Vie Conjugale","1964","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Sette contro la morte (1964) 576p AAC WEB-DL.mkv","Sette contro la morte","1964","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Anima.Persa.1977.1080p.BluRay.x264.AAC-[YTS.MX].mp4","Anima Persa","1977","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/I Nuovi Mostri (1977).HDRip.1080p.AV1.PlamenNik.mkv","I Nuovi Mostri","1977","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Ars amandi.1983.576p.BDRip-AVC.ZONE.mkv","Ars amandi","1983","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Cat, The (1992).mkv","The Cat","1992","Michael Meadows","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","117326","The Cat","R3"
"no_data/Mikes.Murder.1984.1080p.MA.WEB-DL.DDP2.0.H.264-FLUX.mkv","Mikes Murder","1984","James Bridges","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","31043","Mike's Murder","R3"
"no_data/1999 - Come Te Nessuno Mai.DVDRip.576p.x264.mkv","Come Te Nessuno Mai","1999","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/A.Comedia.de.Deus.1995.1080p.AMZN.WEB-DL.DDP2.0.H.264-TEMHO.mkv","A Comedia de Deus","1995","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/The.Passage.to.Japan.1991.1080p.AMZN.WEB-DL.DDP2.0.H.264-ARiN.mkv","The Passage to Japan","1991","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Cha.No.Aji.2004.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4","Cha No Aji","2004","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Cooler, The (2003).mp4","The Cooler","2003","Wayne Kramer","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","10744","The Cooler","R3"
"no_data/La.ragazza.del.lago.2007.1080p.AMZN.WEB-DL.DD5.1.H.264-WELP.mkv","La ragazza del lago","2007","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Los.Reyes.Del.Mundo.2022.1080p.NF.WEB-DL.DDP5.1.x264-DODEN.mkv","Los Reyes Del Mundo","2022","","","","","Unsorted","2020s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_data/Jokyo.1960.1080p.WEB-DL.DD+2.0.H.264-SbR.mkv","Jokyo","1960","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"no_year/The Making Of Captain EO.mp4","The Making Of Captain EO","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Captain EO [RoughCut].mp4","Captain EO [RoughCut]","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Frankenstein.Punk.mp4","Frankenstein Punk","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/sample.avi","sample","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Interview with Mcelwee.mkv","Interview with Mcelwee","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Interview With Damien Thomas, Conducted On Stage By Wayne Kinsey.mkv","Interview With Damien Thomas, Conducted On Stage By Wayne Kinsey","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Flesh And The Fury X-posing Twins of Evil (directors cut)  Exploring Hammers Karnstein Trilogy.mkv","The Flesh And The Fury X-posing Twins of Evil (directors cut)  Exploring Hammers Karnstein Trilogy","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Satanic Decadence & The Legacy Of Sheridan Le Fanu In Hammers Twins of Evil  A Visual Essay by Kat Ellinger.mkv","Satanic Decadence & The Legacy Of Sheridan Le Fanu In Hammers Twins of Evil  A Visual Essay by Kat Ellinger","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailers From Hell - The Vampire Lovers.mkv","Trailers From Hell - The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Feminine Fantastique - Resurrecting The Vampire Lovers.mkv","Feminine Fantastique - Resurrecting The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Carnal Crimson Kim Newman on the Carmilla Legend - The Vampire Lovers.mkv","Carnal Crimson Kim Newman on the Carmilla Legend - The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/To Love a Vampire - The Vampire Lovers.mkv","To Love a Vampire - The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Excerpts from Carmilla read by Ingrid Pitt - Vampire Lovers.mkv","Excerpts from Carmilla read by Ingrid Pitt - Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Madeline Smith, Vampire Lover - Vampire Lovers.mkv","Madeline Smith, Vampire Lover - Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/New Blood Hammer Enters the 70s - The Vampire Lovers.mkv","New Blood Hammer Enters the 70s - The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Fangs for the Memories Remembering The Vampire Lovers.mkv","Fangs for the Memories Remembering The Vampire Lovers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Portrait of Sergei Urusevsky.mkv","Portrait of Sergei Urusevsky","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Road to Cannes.mkv","The Road to Cannes","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Mikhail Kalatozov.mkv","Mikhail Kalatozov","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Ian Christie.mkv","Ian Christie","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Remembering and Restoring a Hitchcock Classic.mkv","Remembering and Restoring a Hitchcock Classic","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Sound of Hitchcock.mkv","The Sound of Hitchcock","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Masters of Cinema.mkv","Masters of Cinema","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Production Photographs.mkv","Production Photographs","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Hitchcock-Truffaut Interview Excerpts.mkv","Hitchcock-Truffaut Interview Excerpts","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailer_1.mkv","Trailer 1","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Through the Eyes of Hitchcock.mkv","Through the Eyes of Hitchcock","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Beyond Playtime.mkv","Beyond Playtime","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Tativille.mkv","Tativille","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Script supervisor Sylvette Baudrot.mkv","Script supervisor Sylvette Baudrot","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Like Home.mkv","Like Home","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailers From Hell - Dana Gould on PLAN 9 FROM OUTER SPACE.mkv","Trailers From Hell - Dana Gould on PLAN 9 FROM OUTER SPACE","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Flying Saucers Over Hollywood - The Plan 9 Companion.mp4","Flying Saucers Over Hollywood - The Plan 9 Companion","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Incredibly Strange Film Show - Ed Wood.mp4","The Incredibly Strange Film Show - Ed Wood","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/I Ain't Hung Yet - The Style and Structure of One-Eyed Jacks.mkv","I Ain't Hung Yet - The Style and Structure of One-Eyed Jacks","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Sisters of Vice and Virtue - The Marquis de Sade and Nunsploitation.mkv","Sisters of Vice and Virtue - The Marquis de Sade and Nunsploitation","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Jon Voight - Screen Tests.mkv","Jon Voight - Screen Tests","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Controversy and Acclaim.mkv","Controversy and Acclaim","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Crowd Around the Cowboy.mkv","The Crowd Around the Cowboy","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Jon Voight - The David Frost Show.mkv","Jon Voight - The David Frost Show","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailer_2.mkv","Trailer 2","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/After Midnight - Reflections on the Classic.mkv","After Midnight - Reflections on the Classic","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Deleted.Scenes-Grym.mkv","Deleted Scenes-Grym","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/A.Note.from.Clive.Barker-Grym.mkv","A Note from Clive Barker-Grym","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Drawing.Boards-Grym.mkv","Drawing Boards-Grym","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Melville on set (Le cercle rouge 70).mkv","Melville on set","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/1970 Le cercle rouge trailer.mkv","1970 Le cercle rouge trailer","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Melville on set ii (Le cercle rouge 70).mkv","Melville on set ii","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Melville interview ii (Le cercle rouge 70).mkv","Melville interview ii","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Melville interview (Le cercle rouge 70).mkv","Melville interview","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/William Friedkin on The Charlie Rose Show - Jade.mkv","William Friedkin on The Charlie Rose Show - Jade","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Hysterical Blindness William Friedkin at Paramount - Jade.mkv","Hysterical Blindness William Friedkin at Paramount - Jade","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Eszterhas, Friedkin, & Jade.mkv","Eszterhas, Friedkin, & Jade","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Jodorowsky Remembers El Topo.mkv","Jodorowsky Remembers El Topo","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Father of Midnight Movies with Alejandro Jodorowsky - El Topo.mkv","The Father of Midnight Movies with Alejandro Jodorowsky - El Topo","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Interview with Alejandro Jodorowsky's son, Brontis Jodorowsky - El Topo.mkv","Interview with Alejandro Jodorowsky's son, Brontis Jodorowsky - El Topo","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Theremin.mkv","The Theremin","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Making Bela.mkv","Making Bela","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Let's Shoot this F#%@r!.mkv","Let's Shoot this F#%@r!","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Pie Plates Over Hollywood.mkv","Pie Plates Over Hollywood","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Music Video.mkv","Music Video","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/No Fighting in the War Room.mkv","No Fighting in the War Room","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Best Sellers.mkv","Best Sellers","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Stanley Kubrick Considers the Bomb.mkv","Stanley Kubrick Considers the Bomb","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Today Show Clips.mkv","The Today Show Clips","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Split-Screen Interviews - Peter Sellers and George C. Scott.mkv","Split-Screen Interviews - Peter Sellers and George C Scott","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Art of Stanley Kubrick.mkv","The Art of Stanley Kubrick","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Buttometer Preview.mkv","Buttometer","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailer_3.mkv","Trailer 3","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailer_4.mkv","Trailer 4","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/The Opening - The World Premiere of Citizen Kane.mkv","The Opening - The World Premiere of Citizen Kane","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Production.mkv","Production","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Interviews - Ruth Warrick and Robert Wise.mkv","Interviews - Ruth Warrick and Robert Wise","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Trailer_5.mkv","Trailer 5","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Censorship and Desire.mkv","Censorship and Desire","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/North and the Music of the South.mkv","North and the Music of the South","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/A Streetcar in Hollywood.mkv","A Streetcar in Hollywood","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/A Streetcar on Broadway.mkv","A Streetcar on Broadway","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Marlon Brando Screen Test.mkv","Marlon Brando Screen Test","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/An Actor Named Brando.mkv","An Actor Named Brando","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_year/Elia Kazan - A Director's Journey.mkv","Elia Kazan - A Director's Journey","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Lo scopone scientifico (1972).mkv","Lo scopone scientifico","1972","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/A Mulher Que Eu Abandonei (1969).mkv","A Mulher Que Eu Abandonei","1969","Rogério Sganzerla","","BR","","Satellite","1960s","Brazilian Exploitation","Satellite/Brazilian Exploitation/1960s/","0.65","structural_signal","","","R3"
"insufficient_data/A New Wave (1990).mkv","A New Wave","1990","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Ai futatabi (1971).mkv","Ai futatabi","1971","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Angst vor der Angst (1975).mkv","Angst vor der Angst","1975","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Lili St. Cyr in Color - Love Moods (1950) & A Bedroom Fantasy (1953) (SP Hi-Fi Stereo VHS to SWV DVD-R Rip Upscaled in HD).mp4","Lili St Cyr in Color - Love Moods","1950","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/A Fêmea do Mar (1980).mp4","A Fêmea do Mar","1980","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Aozora Musume (1957).mkv","Aozora Musume","1957","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/But the Flesh is Weak (1957).mkv","But the Flesh is Weak","1957","Kō Nakahira","","JP","","Unsorted","1950s","","Unsorted/","0.0","unsorted_no_match","434465","But the Flesh is Weak","R3"
"insufficient_data/The Driver (1978) Uncut.mkv","The Driver","1978","Walter Hill","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","2153","The Driver","R3"
"insufficient_data/Cronica De Un Nino Solo (1964).mkv","Cronica De Un Nino Solo","1964","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Dead Men Dont Wear Plaid (1982).mkv","Dead Men Dont Wear Plaid","1982","Carl Reiner","","US","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","9442","Dead Men Don't Wear Plaid","R3"
"insufficient_data/Intrepidos Punks (1980).mkv","Intrepidos Punks","1980","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/L-esquive (2003).mkv","L-esquive","2003","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/La Cicatrice Interieure (1972).mkv","La Cicatrice Interieure","1972","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/La ville des pirates (1983).mkv","La ville des pirates","1983","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Las Islas Marias (1951).mkv","Las Islas Marias","1951","Emilio Fernández","","MX","","Unsorted","1950s","","Unsorted/","0.0","unsorted_no_match","75965","Las Islas Marias","R3"
"insufficient_data/Le DÃ©luge Gli Ultimi Giorni Di Maria Antonietta (2024).mkv","Le DÃ©luge Gli Ultimi Giorni Di Maria Antonietta","2024","","","","","Unsorted","2020s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Lo mau (1991).mkv","Lo mau","1991","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Los Olvidados (1950).mkv","Los Olvidados","1950","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Lumiere D Ete (1943).mkv","Lumiere D Ete","1943","","","","","Unsorted","1940s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Mei gui di gu shi (1985).mkv","Mei gui di gu shi","1985","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Morir dormir tal vez soñar (1976).mkv","Morir dormir tal vez soñar","1976","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Odin iz tysyach (2010).avi","Odin iz tysyach","2010","","","","","Unsorted","2010s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Plein soleil (1960).mkv","Plein soleil","1960","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Turtles Swim Faster Than Expected (2005).mkv","Turtles Swim Faster Than Expected","2005","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Twilights Last Gleaming (1977).mp4","Twilights Last Gleaming","1977","Robert Aldrich","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","75938","Twilight's Last Gleaming","R3"
"insufficient_data/Ulzanas Raid (1972).mp4","Ulzanas Raid","1972","Robert Aldrich","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","42491","Ulzana's Raid","R3"
"insufficient_data/Une femme mariee (1964).mkv","Une femme mariee","1964","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Vendredi Soir (2002).mkv","Vendredi Soir","2002","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Vidhyarthigale Ithile Ithile (1972).mkv","Vidhyarthigale Ithile Ithile","1972","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Yoru ga mata kuru (1994).mkv","Yoru ga mata kuru","1994","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Zirneklis (1992).mp4","Zirneklis","1992","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Gendai koshoku-den..Teroru no kisetsu [Season of Terror] - Koji Wakamatsu (1969).mkv","Gendai koshoku-den Teroru no kisetsu [Season of Terror] - Koji Wakamatsu","1969","Kôji Wakamatsu","","JP","","Satellite","1960s","Pinku Eiga","Satellite/Pinku Eiga/1960s/","0.85","both_agree","","","R3"
"insufficient_data/Rumble in the Bronx - Hong Kong Cut (1995) {edition-Hong Kong Cut}.mkv","Rumble in the Bronx - Hong Kong Cut","1995","Stanley Tong","","HK","","Satellite","1990s","Hong Kong Action","Satellite/Hong Kong Action/1990s/","0.85","both_agree","33542","Rumble in the Bronx","R3"
"insufficient_data/Interviews - Henry Jaglom, Gary Graver, Martin Ritt, Peter Bogdanovich, and Frank Marshall - Knowing Welles (1990).mkv","Henry Jaglom, Gary Graver, Martin Ritt, Peter Bogdanovich, and Frank Marshall - Knowing Welles","1990","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Interviews - Robert Wise, Ruth Warrick, and Linwood Dunn - Working on Kane (1990).mkv","Robert Wise, Ruth Warrick, and Linwood Dunn - Working on Kane","1990","","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_director","","","R2"
"insufficient_data/The Merv Griffin Show (1962) - S16E234 (1979).mkv","The Merv Griffin Show","1962","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Radio Play - His Honor, The Mayor (1941).mkv","His Honor, The Mayor","1941","","","","","Unsorted","1940s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Radio Play - Heart of Darkness (1938).mkv","Heart of Darkness","1938","","","","","Unsorted","1930s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Radio Play - Dracula (1938).mkv","Dracula","1938","","","","","Unsorted","1930s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
