"filename","title","year","director","language","country","user_tag","tier","decade","subdirectory","destination","confidence","reason","tmdb_id","tmdb_title","data_readiness"
"insufficient_data/Amateur.mkv","Amateur","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Choose Me.mkv","Choose Me","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Godard par Godard.mkv","Godard par Godard","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Wrong Man.mkv","The Wrong Man","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Trust.mkv","Trust","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Trouble With Harry.mkv","The Trouble With Harry","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Grapes of Death.mkv","The Grapes of Death","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Simple Men.mkv","Simple Men","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Beyrouth ma ville - Jocelyne Saab.mkv","Beyrouth ma ville - Jocelyne Saab","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/AMMA ARIYAN.mkv","AMMA ARIYAN","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Buongiorno, notte_( Good Morning, Night)_2003_DVDRip-AVC_ (1).mkv","Buongiorno, notte 2003","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Shape of Night.mp4","The Shape of Night","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Wacko.mkv","Wacko","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Fascination.mkv","Fascination","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Unbelievable Truth.mkv","The Unbelievable Truth","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/La Estrategia del Caracol.mkv","La Estrategia del Caracol","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Flirt.mp4","Flirt","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Don Juan ou si Don Juan était une femme.mp4","Don Juan ou si Don Juan était une femme","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/BENEAT~1.MKV","BENEAT~1","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Original.Behind.the.Scenes.Footage-Grym.mkv","Original Behind the Scenes Footage-Grym","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Depravação Orgia das Taras.mkv","Depravação Orgia das Taras","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Palm Springs Weekend [1963 - Taurog, Norman].mkv","Palm Springs Weekend [1963 - Taurog, Norman]","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Okamoto kihachi - Jazz Daimyo.avi","Okamoto kihachi - Jazz Daimyo","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Avidacomoelae(1).mkv","Avidacomoelae(1)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Avidacomoelae(3).mkv","Avidacomoelae(3)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/1980 Nárcisz és Psyché iii.mkv","1980 Nárcisz és Psyché iii","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/1980 Nárcisz és Psyché i.mkv","1980 Nárcisz és Psyché i","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/une.fille.pour.l'ete-KG.mkv","une fille pour l'ete-KG","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/La Condanna.mkv","La Condanna","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Estrela Nua.mkv","Estrela Nua","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Seduction of Angela (Cinemax).mkv","The Seduction of Angela (Cinemax)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Company of Wolves [465162].mp4","The Company of Wolves [465162]","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Avidacomoelae(2).mkv","Avidacomoelae(2)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Avidacomoelae(4).mkv","Avidacomoelae(4)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Surviving Desire.mkv","Surviving Desire","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/1980 Nárcisz és Psyché ii.mkv","1980 Nárcisz és Psyché ii","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Acid Eaters1968.mkv","The Acid Eaters1968","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Noites_de_Iemanja.avi","Noites de Iemanja","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Blue Magic.mkv","Blue Magic","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/The Game They Called Sex LDRip.mkv","The Game They Called Sex LDRip","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Un mari a prix fixe.avi","Un mari a prix fixe","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/cowry-bcrazy-rp.avi","cowry-bcrazy-rp","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/O Vampiro da Cinemateca.avi","O Vampiro da Cinemateca","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Absences repetees.mp4","Absences repetees","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Cidade Oculta MemoriadaTV.mkv","Cidade Oculta MemoriadaTV","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/RiffTrax - s01e052 - Plan 9 From Outer Space (Three Riffer Edition).mkv","RiffTrax - s01e052 - Plan 9 From Outer Space","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Abismos de Pasión - 1953(SD).mp4","Abismos de Pasión - 1953(SD)","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/My Guest is Orson Welles.mkv","My Guest is Orson Welles","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Waldo Salt - A Screenwriter's Journey.mkv","Waldo Salt - A Screenwriter's Journey","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/ESTRANHO DESEJO.avi","ESTRANHO DESEJO","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Inside Dr. Strangelove.mkv","Inside Dr Strangelove","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Hurricane Kalatozov.mkv","Hurricane Kalatozov","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Marehito.mkv","Marehito","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/A.Gathering.of.Magic-Grym.mkv","A Gathering of Magic-Grym","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/Le voyage dans la lune (Georges Méliès, 1902).mp4","Le voyage dans la lune","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"insufficient_data/O Inseto do Amor.mp4","O Inseto do Amor","","","","","","Unsorted","","","Unsorted/","0.0","unsorted_no_year","","","R0"
"no_match/Le paria (1969).mkv","Le paria","1969","Claude Carliez","","FR","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"no_match/Lorna (2014).mkv","Lorna","2014","Sigrid Andrea Bernardo","","PH","","Unsorted","2010s","","Unsorted/","0.0","unsorted_no_match","302613","Lorna","R3"
"no_match/Rosa de Areia (1989).mkv","Rosa de Areia","1989","Margarida Cordeiro","","PT","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_match/The Rose Seller (1998).mkv","The Rose Seller","1998","Víctor Gaviria","","CO","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","97038","The Rose Seller","R3"
"no_match/The Scenic Route (1978).mp4","The Scenic Route","1978","Mark Rappaport","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","128042","The Scenic Route","R3"
"no_match/Lilford Hall (1969) 1080p.mp4","Lilford Hall","1969","Peter Whitehead","","GB","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"no_match/Juegos de verano (1973).avi","Juegos de verano","1973","Juan Antonio Serna","","AR","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"no_match/Pandora Peaks - Russ Meyer 2001 [ENG-DEU].avi","Russ Meyer","2001","Pandora Peaks","","US","","Unsorted","2000s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"no_match/Bachelor in Paradise.1961.576p.BDRip-AVC.ZONE.mkv","Bachelor in Paradise","1961","Jack Arnold","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","52841","Bachelor in Paradise","R3"
"no_match/Gypsy Wildcat (Roy William Neill, 1944).mp4","","1944","Roy William Neill","","","","Unsorted","1940s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_match/Meditations on Revolution Part II—The Space in Between (Robert Fenz, 1997).avi","Meditations on Revolution Part II—The Space in Between","1997","Robert Fenz","","US","","Unsorted","1990s","","Unsorted/","0.0","unsorted_no_match","259273","Meditations on Revolution Part II: The Space in Between","R2"
"no_match/Les amants de Montparnasse (Montparnasse 19) (Jacques Becker, 1958).m4v","Les amants de Montparnasse (Montparnasse 19)","1958","Jacques Becker","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_match/Tavaszi zápor (Fejős Pál, 1932).mp4","Tavaszi zápor","1932","Fejős Pál","","","","Unsorted","1930s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_match/Ophelia—The Cat Lady (Tom Chomont, 1969).mkv","Ophelia—The Cat Lady","1969","Tom Chomont","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","","","R2"
"no_match/Señor Droopy (Tex Avery, 1949).mkv","Señor Droopy","1949","Tex Avery","","","","Unsorted","1940s","","Unsorted/","0.0","unsorted_no_match","","","R2"
